1,¿Que es un avión?,Es un animal,Es una maquina,Es un vegetal,Es un ser vivo,Es una maquina
1,¿Qué es un arbol?,Es un ser humano,Es un animal,Es una planta,Es una cosa,Es una planta
1,¿Que es un perro?,Es un vegetal,Es un ser humano,Es una maquina,Es un animal,Es un animal
1,¿Qué es un billete?,Es elemento fisico de pago,Es un ser humano,Es un animal,Es una cosa,Es elemento fisico de pago
1,¿Quién escribió La Odisea?,Homero Jay Simpson,Aquiles,Homero,Andres Lozada,Homero
2,¿Cuál es el lugar más frío de la tierra?,La Antartida,Colombia,Mexico,Egipto,La Antartida
2,¿En qué continente está Ecuador?,Europa,America del sur,Asia,NorteAmerica,America del sur
2,¿De que nacionalidad es James Rodriguez?,Francia,Brazil,Argentina,Colombia,Colombia
2,¿Qué equipo gano la copa America 2021?,Bolivia,Peru,Argentina,Brazil,Argentina
2,¿Cual es el nombre del presidente de Colombia actual?,Gustavo Petro,Claudia Lopez,Ivan Duque,Alvaro Uribe,Ivan Duque
3,¿Cómo se llama la Reina del Reino Unido?,Catalina IV,Lucia III,Maria II,Isabel II,Isabel II
3,¿De qué colores es la bandera de México?,Amarillo verde y azul,Verde blanco y rojo,Verde rojo blanco,Azul amarillo y rojo,Verde blanco y rojo
3,¿Qué cantidad de huesos en el cuerpo humano?,200,208,206,204,206
3,¿Quién es el autor de el Quijote?,Miguel de Cervantes,Pablo Neruda,Pablo Picaso,Gabriel Marquez,Miguel de Cervantes
3,¿En qué país se encuentra la torre de Pisa?,Francia,España,Italia,Portugal,Italia
4,¿Cuándo acabó la II Guerra Mundial?,1949,1941,1945,1942,1945
4,¿Cuál es el océano más grande?,Atlantico,Indico,Antartico,Pacifico,Pacifico
4,¿Qué año llegó Cristóbal Colón a América?,1492,1493,1498,1494,1492
4,¿Qué producto cultiva más Guatemala?,Frijol,Tomate,Café,Aguacate,Café
4,¿Cuál es el país más grande del mundo?,China,Rusia,Japon,India,Rusia
5,¿Cual es país más poblado de la Tierra?,Rusia,China,India,Japon,China
5,¿Con qué se fabricaba el pergamino?,Papel,Piel humana,Plastico,Piel animal,Piel animal
5,¿Cómo se llama el animal más rápido del mundo?,Leon,Tigre,Hiena,Guepardo,Guepardo
5,¿A qué ciudad de Brazil pertenecen los cariocas?,Sao Paulo,Rio de Janeiro,Brazilia,Fortaleza,Rio de Janeiro
5,¿Cuál fue el primer metal que empleó el hombre?,Oro,Cobre,Plata,Hierro,Cobre